,0
0,lightskyblue
1,lightskyblue
2,lightskyblue
3,purple
4,lightskyblue
5,yellow
6,yellow
7,yellow
8,grey
9,purple
10,purple
11,green
12,green
13,green
14,grey
15,green
16,yellow
17,yellow
18,purple
19,purple
20,purple
21,red
22,red
23,red
24,red
25,purple
26,red
27,red
28,green
29,purple
30,purple
31,lightskyblue
32,purple
33,lightskyblue
34,purple
35,purple
36,yellow
37,purple
38,grey
39,lightskyblue
40,lightskyblue
41,lightskyblue
42,purple
43,lightskyblue
44,yellow
45,yellow
46,yellow
47,grey
48,purple
49,purple
50,green
51,green
52,green
53,grey
54,green
55,yellow
56,yellow
57,purple
58,purple
59,purple
60,red
61,red
62,red
63,red
64,purple
65,red
66,red
67,green
68,purple
69,purple
70,lightskyblue
71,purple
72,lightskyblue
73,purple
74,purple
75,yellow
76,purple
77,grey
78,green
79,lightskyblue
80,lightskyblue
81,purple
82,lightskyblue
83,yellow
84,yellow
85,yellow
86,grey
87,purple
88,purple
89,green
90,green
91,green
92,grey
93,green
94,yellow
95,yellow
96,purple
97,purple
98,purple
99,red
100,red
101,red
102,red
103,purple
104,red
105,red
106,green
107,purple
108,purple
109,lightskyblue
110,purple
111,lightskyblue
112,purple
113,purple
114,yellow
115,purple
116,grey
117,lightskyblue
118,lightskyblue
119,lightskyblue
120,purple
121,lightskyblue
122,yellow
123,yellow
124,yellow
125,grey
126,purple
127,purple
128,green
129,green
130,green
131,grey
132,green
133,yellow
134,yellow
135,purple
136,purple
137,purple
138,red
139,red
140,red
141,red
142,purple
143,red
144,red
145,green
146,purple
147,purple
148,lightskyblue
149,purple
150,lightskyblue
151,purple
152,purple
153,yellow
154,purple
155,grey
156,red
157,purple
158,lightskyblue
159,purple
160,lightskyblue
161,purple
162,purple
163,yellow
164,purple
165,grey
166,purple
167,lightskyblue
168,purple
169,lightskyblue
170,purple
171,purple
172,yellow
173,purple
174,grey
175,red
176,green
