,0
0,5.0
1,5.0
2,5.0
3,7.0
4,5.0
5,6.0
6,6.0
7,6.0
8,4.0
9,7.0
10,7.0
11,2.0
12,2.0
13,2.0
14,4.0
15,2.0
16,6.0
17,6.0
18,7.0
19,7.0
20,7.0
21,1.0
22,1.0
23,1.0
24,1.0
25,7.0
26,1.0
27,1.0
28,2.0
29,7.0
30,7.0
31,5.0
32,7.0
33,5.0
34,7.0
35,7.0
36,6.0
37,7.0
38,4.0
39,5.0
40,5.0
41,5.0
42,7.0
43,5.0
44,6.0
45,6.0
46,6.0
47,4.0
48,7.0
49,7.0
50,2.0
51,2.0
52,2.0
53,4.0
54,2.0
55,6.0
56,6.0
57,7.0
58,7.0
59,7.0
60,1.0
61,1.0
62,1.0
63,1.0
64,7.0
65,1.0
66,1.0
67,2.0
68,7.0
69,7.0
70,5.0
71,7.0
72,5.0
73,7.0
74,7.0
75,6.0
76,7.0
77,4.0
78,2.0
79,5.0
80,5.0
81,7.0
82,5.0
83,6.0
84,6.0
85,6.0
86,4.0
87,7.0
88,7.0
89,2.0
90,2.0
91,2.0
92,4.0
93,2.0
94,6.0
95,6.0
96,7.0
97,7.0
98,7.0
99,1.0
100,1.0
101,1.0
102,1.0
103,7.0
104,1.0
105,1.0
106,2.0
107,7.0
108,7.0
109,5.0
110,7.0
111,5.0
112,7.0
113,7.0
114,6.0
115,7.0
116,4.0
117,5.0
118,5.0
119,5.0
120,7.0
121,5.0
122,6.0
123,6.0
124,6.0
125,4.0
126,7.0
127,7.0
128,2.0
129,2.0
130,2.0
131,4.0
132,2.0
133,6.0
134,6.0
135,7.0
136,7.0
137,7.0
138,1.0
139,1.0
140,1.0
141,1.0
142,7.0
143,1.0
144,1.0
145,2.0
146,7.0
147,7.0
148,5.0
149,7.0
150,5.0
151,7.0
152,7.0
153,6.0
154,7.0
155,4.0
156,1.0
157,7.0
158,5.0
159,7.0
160,5.0
161,7.0
162,7.0
163,6.0
164,7.0
165,4.0
166,7.0
167,5.0
168,7.0
169,5.0
170,7.0
171,7.0
172,6.0
173,7.0
174,4.0
175,1.0
176,2.0
