,0
0,LLOCid1
1,LLOCsd1
2,RPC1
3,LIC1
4,LPG1
5,RPC2
6,RAG1
7,LPG2
8,LMTGpd1
9,RFP1
10,RPG1
11,RAG2
12,RP1
13,LLOCid2
14,RPG2
15,RT1
16,LPC1
17,LIC2
18,LPG3
19,RCGad1
20,LFP1
21,LPOC1
22,RFP2
23,RLOCid1
24,LPGad1
25,RPG3
26,RCGpd1
27,RSPL1
28,RTP1
29,LSGpd1
30,LPG4
31,RCOC1
32,LT1
33,RMFG1
34,RMTGtp1
35,RCGad2
36,LFP2
37,ROP1
38,LT2
39,RCGpd2
40,LC1
41,RH1
42,RMTGpd1
43,LPG5
44,RFOC1
45,LCC1
46,RCGad3
47,LAG1
48,LFOC1
49,RPC3
50,RIC1
51,RPG4
52,LMFG1
53,RTFCpd1
54,LTOFC1
55,RMFG2
56,RPG5
57,RPT1
58,LP1
59,RMTGtp2
60,LLG1
61,RFOC2
62,LMTGpd2
63,LPG6
64,LFOC2
65,RFP3
66,LCGpd1
67,LTP1
68,RCGad4
69,RPC4
70,LLOCsd2
71,RPP1
72,LC2
73,RLOCid2
74,RTFCpd2
75,LPG7
76,RIC2
77,LPG8
78,RSFG1
79,LA1
80,RSGpd1
81,RC1
82,LMFG2
83,LPG9
84,LLOCsd3
85,RPG6
86,LMTGtp1
87,RITGtp1
88,LMTGad1
89,ROP2
90,LFP3
91,RLG1
92,RMFG3
93,RSTGpd1
94,LOP1
95,RFP4
96,RTP2
97,RPG7
98,LFOC3
99,RFP5
100,LLOCsd4
101,RPG8
102,LSGad1
103,LMTGtp2
104,RCOC2
105,LIC3
106,LPGpd1
107,RPG9
108,RFP6
109,LMFG3
110,RMFG4
111,RPOC1
112,LPP1
113,LOP2
114,RLOCsd1
115,LSFG1
116,RPG10
117,RC2
118,LLOCsd5
119,RPP2
120,ROFG
121,RFP7
122,RMTGad1
123,LIFGpt1
124,ROP3
125,RLOCid3
126,RIFGpt1
127,LH1
128,LHG/HaH1
129,LPC2
130,RT2
131,LPG10
132,LLOCid3
133,LMFG4
134,RSTGpd2
135,LPG11
136,RH2
137,LSPL1
138,RPG11
139,LOP3
140,LOFG1
141,LSC1
142,RSFG2
143,RPC5
144,RIFGpo1
145,LPG12
146,RLOCsd2
147,LFP4
148,RFP8
149,LFP5
150,RLOCsd3
151,LPG13
152,RTOFC1
153,LSFG2
154,LPC3
155,RLOCid4
156,LLG2
157,RP2
158,LLG3
159,RSGad1
160,RTP3
161,LJLC/SMC1
162,LFP6
163,LCOC1
164,RHG/HaH1
165,RFP9
166,RSFG3
167,LSPL2
168,LTOFC2
169,LSFG3
170,RFP10
171,RLG2
172,LTP2
173,LPC4
174,RTFCad1
175,B1
176,LPT1
