,0
0,LIM
1,LIM
2,LIM
3,DMN
4,LIM
5,FP
6,FP
7,FP
8,VA
9,DMN
10,DMN
11,SM
12,SM
13,SM
14,VA
15,SM
16,FP
17,FP
18,DMN
19,DMN
20,DMN
21,VIS
22,VIS
23,VIS
24,VIS
25,DMN
26,VIS
27,VIS
28,SM
29,DMN
30,DMN
31,LIM
32,DMN
33,LIM
34,DMN
35,DMN
36,FP
37,DMN
38,VA
39,LIM
40,LIM
41,LIM
42,DMN
43,LIM
44,FP
45,FP
46,FP
47,VA
48,DMN
49,DMN
50,SM
51,SM
52,SM
53,VA
54,SM
55,FP
56,FP
57,DMN
58,DMN
59,DMN
60,VIS
61,VIS
62,VIS
63,VIS
64,DMN
65,VIS
66,VIS
67,SM
68,DMN
69,DMN
70,LIM
71,DMN
72,LIM
73,DMN
74,DMN
75,FP
76,DMN
77,VA
78,SM
79,LIM
80,LIM
81,DMN
82,LIM
83,FP
84,FP
85,FP
86,VA
87,DMN
88,DMN
89,SM
90,SM
91,SM
92,VA
93,SM
94,FP
95,FP
96,DMN
97,DMN
98,DMN
99,VIS
100,VIS
101,VIS
102,VIS
103,DMN
104,VIS
105,VIS
106,SM
107,DMN
108,DMN
109,LIM
110,DMN
111,LIM
112,DMN
113,DMN
114,FP
115,DMN
116,VA
117,LIM
118,LIM
119,LIM
120,DMN
121,LIM
122,FP
123,FP
124,FP
125,VA
126,DMN
127,DMN
128,SM
129,SM
130,SM
131,VA
132,SM
133,FP
134,FP
135,DMN
136,DMN
137,DMN
138,VIS
139,VIS
140,VIS
141,VIS
142,DMN
143,VIS
144,VIS
145,SM
146,DMN
147,DMN
148,LIM
149,DMN
150,LIM
151,DMN
152,DMN
153,FP
154,DMN
155,VA
156,VIS
157,DMN
158,LIM
159,DMN
160,LIM
161,DMN
162,DMN
163,FP
164,DMN
165,VA
166,DMN
167,LIM
168,DMN
169,LIM
170,DMN
171,DMN
172,FP
173,DMN
174,VA
175,VIS
176,SM
